,COM,NAME,POP_15,geonameid,Department/feature_code
321,01408,Simandre-sur-Suran,683,6424705.0,ADM4
322,01410,Sonthonnax-la-Montagne,321,6424707.0,ADM4
323,01411,Souclin,267,6424708.0,ADM4
324,01412,Sulignat,568,6424709.0,ADM4
325,01413,Surjoux,72,6424710.0,ADM4
326,01414,Sutrieu,211,6424711.0,ADM4
327,01415,Talissieu,443,6424712.0,ADM4
328,01416,Tenay,1053,6424713.0,ADM4
329,01417,Thézillieu,300,6424714.0,ADM4
330,01420,Thoissey,1712,6424716.0,ADM4
331,01421,Torcieu,730,6424717.0,ADM4
332,01422,Tossiat,1370,6424718.0,ADM4
333,01423,Toussieux,913,6424719.0,ADM4
334,01424,Tramoyes,1674,6424720.0,ADM4
335,01425,La Tranclière,292,6455426.0,ADM4
336,01426,Val-Revermont,2572,6615637.0,ADM4
337,01427,Trévoux,6768,6612211.0,ADM4
338,01428,Valeins,130,6424722.0,ADM4
339,01429,Vandeins,683,6424723.0,ADM4
340,01430,Varambon,535,6424724.0,ADM4
341,01431,Vaux-en-Bugey,1231,6424725.0,ADM4
342,01432,Verjon,262,6424726.0,ADM4
343,01433,Vernoux,321,6612212.0,ADM4
344,01434,Versailleux,423,6424727.0,ADM4
345,01436,Vesancy,502,6424728.0,ADM4
346,01437,Vescours,255,6424729.0,ADM4
347,01439,Vésines,100,6424730.0,ADM4
348,01441,Vieu-d'Izenave,691,6424731.0,ADM4
349,01442,Vieu,379,6453510.0,ADM4
350,01443,Villars-les-Dombes,4460,6424732.0,ADM4
351,01444,Villebois,1167,6453511.0,ADM4
352,01445,Villemotier,669,6424733.0,ADM4
353,01447,Villereversure,1262,6424734.0,ADM4
354,01448,Villes,354,6424735.0,ADM4
355,01449,Villette-sur-Ain,728,6615640.0,ADM4
356,01450,Villieu-Loyes-Mollon,3507,6615641.0,ADM4
357,01451,Viriat,6281,6424736.0,ADM4
358,01452,Virieu-le-Grand,1067,6424737.0,ADM4
359,01453,Virieu-le-Petit,302,6424738.0,ADM4
360,01454,Virignin,1064,6424739.0,ADM4
361,01456,Vongnes,71,6424740.0,ADM4
362,01457,Vonnas,2926,6424741.0,ADM4
363,02001,Abbécourt,497,6455347.0,ADM4
364,02002,Achery,608,6452073.0,ADM4
365,02003,Acy,1011,6455348.0,ADM4
366,02004,Agnicourt-et-Séchelles,182,6452074.0,ADM4
367,02005,Aguilcourt,398,6452075.0,ADM4
368,02006,Aisonville-et-Bernoville,254,6452076.0,ADM4
369,02007,Aizelles,121,6452077.0,ADM4
370,02008,Aizy-Jouy,294,6615642.0,ADM4
371,02011,Ambleny,1153,6446427.0,ADM4
372,02012,Ambrief,70,6446428.0,ADM4
373,02013,Amifontaine,413,6446429.0,ADM4
374,02014,Amigny-Rouy,740,6446430.0,ADM4
